13.2315 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
33.8643 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
39.6918 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002214BFB80D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002214E3607F0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
39.6920 	EXP 	window1: mouseVisible = True
39.6921 	EXP 	window1: mouseVisible = False
39.6922 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
39.6922 	EXP 	window1: recordFrameIntervals = False
39.8575 	EXP 	window1: recordFrameIntervals = True
40.0414 	EXP 	Screen (0) actual frame rate measured at 59.86Hz
40.0415 	EXP 	window1: recordFrameIntervals = False
42.4093 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
42.5687 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
42.5889 	EXP 	Imported C:/Users/admin/Documents/psychopy/discounting.xlsx as conditions, 7 conditions, 3 params
42.6535 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
42.6542 	EXP 	New trial (rep=0, index=0): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
43.1826 	EXP 	text: height = 0.05000000000000001
43.1826 	EXP 	text: height = 0.05000000000000001
43.1826 	EXP 	text: height = 0.05000000000000001
43.1826 	EXP 	text: text = 'GBP 11 today or GBP 30 after  7 days '
43.1826 	EXP 	fixation: autoDraw = True
43.6611 	EXP 	text: autoDraw = True
44.1897 	EXP 	fixation: autoDraw = False
61.3998 	EXP 	New trial (rep=0, index=1): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
61.4128 	DATA 	Keypress: n
61.4155 	EXP 	fixation: autoDraw = False
61.4155 	EXP 	text: autoDraw = False
61.4155 	EXP 	text: height = 0.05000000000000001
61.4155 	EXP 	text: height = 0.05000000000000001
61.4155 	EXP 	text: height = 0.05000000000000001
61.4155 	EXP 	text: text = 'GBP 67 today or GBP 75 after  119 days '
61.4155 	EXP 	fixation: autoDraw = True
62.4018 	EXP 	text: autoDraw = True
62.4184 	EXP 	fixation: autoDraw = False
64.7711 	DATA 	Keypress: n
64.7865 	EXP 	New trial (rep=0, index=2): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
64.8017 	EXP 	fixation: autoDraw = False
64.8017 	EXP 	text: autoDraw = False
64.8017 	EXP 	text: height = 0.05000000000000001
64.8017 	EXP 	text: height = 0.05000000000000001
64.8017 	EXP 	text: height = 0.05000000000000001
64.8017 	EXP 	text: text = 'GBP 27 today or GBP 50 after  21 days '
64.8017 	EXP 	fixation: autoDraw = True
65.8009 	EXP 	fixation: autoDraw = False
65.8009 	EXP 	text: autoDraw = True
67.3364 	EXP 	New trial (rep=0, index=3): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
67.3479 	DATA 	Keypress: l
67.3504 	EXP 	fixation: autoDraw = False
67.3504 	EXP 	text: autoDraw = False
67.3504 	EXP 	text: height = 0.05000000000000001
67.3504 	EXP 	text: height = 0.05000000000000001
67.3504 	EXP 	text: height = 0.05000000000000001
67.3504 	EXP 	text: text = 'GBP 49 today or GBP 60 after  89 days '
67.3504 	EXP 	fixation: autoDraw = True
68.3503 	EXP 	fixation: autoDraw = False
